#virus-ID,virus-name,virus-protein
11909,Human T-lymphotropic virus 2|HTLV-2|HTLV-II|Human T-Cell leukemia virus type 2|Human T-cell leukemia virus type II|Human T-cell lymphotropic virus type 2|Human T-cell lymphotropic virus type II|Human T-lymphotropic virus Type II|Human lymphotropic virus type 2|Human lymphotropic virus type II|human T cell leukemia virus II HTLV-II|human T lymphotropic virus type II HTLV-II|human T-cell leukemia virus II|human T-cell lymphotropic virus type II HTLV-II,POL|POL_HTLV2
11909,Human T-lymphotropic virus 2|HTLV-2|HTLV-II|Human T-Cell leukemia virus type 2|Human T-cell leukemia virus type II|Human T-cell lymphotropic virus type 2|Human T-cell lymphotropic virus type II|Human T-lymphotropic virus Type II|Human lymphotropic virus type 2|Human lymphotropic virus type II|human T cell leukemia virus II HTLV-II|human T lymphotropic virus type II HTLV-II|human T-cell leukemia virus II|human T-cell lymphotropic virus type II HTLV-II,TAX|TAX_HTLV2
11909,Human T-lymphotropic virus 2|HTLV-2|HTLV-II|Human T-Cell leukemia virus type 2|Human T-cell leukemia virus type II|Human T-cell lymphotropic virus type 2|Human T-cell lymphotropic virus type II|Human T-lymphotropic virus Type II|Human lymphotropic virus type 2|Human lymphotropic virus type II|human T cell leukemia virus II HTLV-II|human T lymphotropic virus type II HTLV-II|human T-cell leukemia virus II|human T-cell lymphotropic virus type II HTLV-II,REX|REX_HTLV2
11909,Human T-lymphotropic virus 2|HTLV-2|HTLV-II|Human T-Cell leukemia virus type 2|Human T-cell leukemia virus type II|Human T-cell lymphotropic virus type 2|Human T-cell lymphotropic virus type II|Human T-lymphotropic virus Type II|Human lymphotropic virus type 2|Human lymphotropic virus type II|human T cell leukemia virus II HTLV-II|human T lymphotropic virus type II HTLV-II|human T-cell leukemia virus II|human T-cell lymphotropic virus type II HTLV-II,ENV|ENV_HTLV2
11909,Human T-lymphotropic virus 2|HTLV-2|HTLV-II|Human T-Cell leukemia virus type 2|Human T-cell leukemia virus type II|Human T-cell lymphotropic virus type 2|Human T-cell lymphotropic virus type II|Human T-lymphotropic virus Type II|Human lymphotropic virus type 2|Human lymphotropic virus type II|human T cell leukemia virus II HTLV-II|human T lymphotropic virus type II HTLV-II|human T-cell leukemia virus II|human T-cell lymphotropic virus type II HTLV-II,GAG|GAG_HTLV2
126794,Vaccinia virus Ankara|Vaccinia virus (strain Ankara),VB18|VB18_VACCA
351266,Influenza A virus (A/Hong Kong/43/1975(H3N2))|Influenza A virus (A/Hong Kong/43/75(H3N2)),Q38SR2|Q38SR2_9INFA
351266,Influenza A virus (A/Hong Kong/43/1975(H3N2))|Influenza A virus (A/Hong Kong/43/75(H3N2)),Q38SQ9|Q38SQ9_9INFA
132487,Measles virus strain Schwarz|Measles morbillivirus strain Schwarz,Q9IBY5|Q9IBY5_MEASW
132487,Measles virus strain Schwarz|Measles morbillivirus strain Schwarz,Q77M19|Q77M19_MEASW
31518,Bovine herpesvirus type 1.1 (strain Jura)|Bovine herpesvirus type 1 (strain Jura),ICP0|ICP0_BHV1J
266827,Influenza A virus (A/Thailand/1(KAN-1)/2004(H5N1)),Q5QF18|Q5QF18_9INFA
11801,Moloney murine leukemia virus|MoMLV|MMLV|Moloney murine leukemia virus M-MuLV|rat Moloney murine leukemia virus MoMuLV,NP|NP_955588
11801,Moloney murine leukemia virus|MoMLV|MMLV|Moloney murine leukemia virus M-MuLV|rat Moloney murine leukemia virus MoMuLV,NP|NP_955583
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,ST|ST_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,LT|LT_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,Q98VM1|Q98VM1_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,Q910R7|Q910R7_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,Q77IQ3|Q77IQ3_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,Q9DH70|Q9DH70_SV40
1891767,Macaca mulatta polyomavirus 1|SV40|Polyomavirus maccacae|Polyomavirus maccacae 1|Rhesus macaque polyomavirus|Simian virus 40|rhesus polyomavirus,VP1|VP1_SV40
11926,Human T-cell lymphotrophic virus type 1 (strain ATK)|Human T-cell leukemia virus type I (strain ATK),HBZ|HBZ_HTL1A
587200,Variola virus human/India/Ind3/1967|Variola virus (isolate Human/India/Ind3/1967),VLTF3|VLTF3_VAR67
587200,Variola virus human/India/Ind3/1967|Variola virus (isolate Human/India/Ind3/1967),Q76VT2|Q76VT2_VAR67
587200,Variola virus human/India/Ind3/1967|Variola virus (isolate Human/India/Ind3/1967),Q85406|Q85406_VAR67
587200,Variola virus human/India/Ind3/1967|Variola virus (isolate Human/India/Ind3/1967),CRMB|CRMB_VAR67
10320,Bovine alphaherpesvirus 1|BoHV-1|Infectious bovine rhinotracheitis virus|Bovine herpesvirus 1|Bovine herpesvirus type 1|Bovine herpesvirus-1|Bovine rhinotracheitis virus|bovine herpesvirus 1 BHV 1|bovine herpesvirus 1 BHV-1|bovine herpesvirus 1 BHV1|bovine herpesvirus BHV-1|bovine herpesvirus type 1 BHV-1|bovine herpesvirus type-1 BHV-1|infectious bovine rhinotracheitis virus BHV-1,NP|NP_045311
1979162,Mammalian rubulavirus 5|SV-5|SV5|Parainfluenza virus 5|Parainfluenza virus type 5|Simian parainfluenza virus 5|Simian paramyxovirus (SV5)|Simian virus 5|simian paramyxovirus SV5|simian virus 5 SV5,W5QKN2|W5QKN2_9MONO
11723,Simian immunodeficiency virus|SIV|CIV|Chimpanzee immunodeficiency virus|Chimpanzee immunodeficiency virus (SIV(CPZ))|Simian immunodeficiency virus SIVcpz|simian immunodeficiency virus SIV|simian immunodeficiency virus- SIV|simian immunodeficiency viruses SIV,NP|NP_687035
11665,Equine infectious anemia virus|EIAV|equine infectious anemia virus EIAV,NP|NP_056903
46015,Autographa californica nucleopolyhedrovirus|AcMNPV|Autographa californica multicapsid nuclear polyhedrosis virus|Autographa californica multicapsid nuclear polyhedrosis virus AcMNPV|Autographa californica nuclear polyhedrosis virus|Autographa californica nuclear polyhedrosis virus AcMNPV|Autographa californica nuclear polyhedrosis virus AcNPV|Autographa californica nuclear polyhedrosis virus- AcMNPV,P35|P35_NPVAC
410078,Human respiratory syncytial virus S2|HRSV-S2,O09720|O09720_HRSS2
11085,Langat virus|LGT|Flavivirus langat|Langat virus LGT,NP|NP_740302
11085,Langat virus|LGT|Flavivirus langat|Langat virus LGT,NP|NP_740299
31762,Hepatitis delta virus (ISOLATE D380)|Hepatitis D virus (isolate D380),LHDAG|LHDAG_HDVD3
31762,Hepatitis delta virus (ISOLATE D380)|Hepatitis D virus (isolate D380),SHDAG|SHDAG_HDVD3
37959,Human papillomavirus 38|Human papillomavirus - 38|Human papillomavirus type 38,VE6|VE6_HPV38
