#DrugBank-ID,host-protein-ID,gene
1070,5646,VDR
3642,1209,CTSK
7099,3054,LTA4H
8235,7448,ARPC5
8235,7452,ACTR3
8235,7453,ACTR2
8235,7450,ARPC3
8235,7451,ARPC1B
8235,7449,ARPC4
8235,7464,ARPC2
7121,5172,ADAM17
1157,1347,DHFR
6243,3659,ODC1
1261,1411,DPP4
580,619,CA3
580,618,CA2
580,4288,PTGS2
217,2841,KCNJ1
217,2557,HTR7
8057,2976,LCK
5417,2045,GLRA1
961,4741,SCN10A
8688,12558,ACOT13
2007,4355,PYGM
2007,209,AKR1B1
2007,2112,GPI
2007,2352,HK1
5219,3794,PDE4D
5219,3793,PDE4C
5219,3792,PDE4B
5219,3791,PDE4A
1628,4288,PTGS2
12061,1422,DRD3
12061,1421,DRD2
12061,1423,DRD4
12061,2545,HTR1A
1181,6468,NR1I2
1181,1304,ACE
7161,2809,JAK2
3982,4306,PTPN1
512,401,ATP1A1
8195,1215,CTSS
443,2192,NR3C1
2915,722,CCNA2
2915,834,CDK2
4163,18929,DHFRL1
1695,5440,TPI1
7377,8187,METAP2
3137,2527,HSP90AA1
8240,205,ALDOA
6199,1488,EDNRA
9263,926,CHRM3
3185,802,CDA
1623,1421,DRD2
1623,1420,DRD1
1623,2550,HTR2A
9031,3876,ABCB1
450,1421,DRD2
450,142,ADRA1A
2165,2222,GSTM1
4791,4206,PRSS1
3136,4206,PRSS1
3136,1661,F2
3136,3951,PLAU
2326,3250,MMP8
1612,3605,NPR1
1989,5374,TLL2
10772,5335,TGFBR2
10772,2610,IFNG
10772,1742,FGF1
10772,3806,PDGFRA
10772,2689,IL6
10772,5647,VEGFA
10772,5327,TGFB1
10772,5404,TNF
10772,1516,EGFR
10772,2675,IL1B
10772,1759,FGFR2
10772,1147,CSF2RA
9338,309,AQP1
9338,221,ALPL
9338,4927,SLC16A1
7302,4058,PPARG
8325,11511,CSNK1G1
8325,7760,MERTK
1610,209,AR
690,1915,GABRP
690,1907,GABRA5
690,1904,GABRA2
690,12572,GABRQ
690,1913,GABRG1
690,1914,GABRG3
690,1910,GABRB3
690,1916,GABRR1
690,1903,GABRA1
690,1911,GABRD
690,18936,GABRR3
690,1908,GABRA6
690,1912,GABRE
690,1906,GABRA4
690,1909,GABRB1
690,1905,GABRA3
690,1917,GABRR2
6751,631,CACNA1C
6751,3791,PDE4A
