#virus-protein-id,virus-protein
339,Q8QXP6|Q8QXP6_9FLAV
340,CEP2|CEP2_EBVA8
341,Q89027|Q89027_9RHAB
342,CYCL|CYCL_WDSV
343,MT5|MT5_MYXVL
344,RIR1|RIR1_VACCW
345,TRM1|TRM1_HHV11
346,O41946|O41946_MHV68
347,P88912|P88912_HHV8
348,GP42|GP42_EBVA8|GP42_EBVB9
349,BLLF2|BLLF2_EBVA8|BLLF2_EBVB9
350,E3|E3_VACCW
351,E3GL|E3GL_ADE05
352,P89654|P89654_MHV68
353,Q20MD4|Q20MD4_I72A8
354,BLRF2|BLRF2_EBVA8
355,UBC|UBC_ASFB7
356,P88944|P88944_HHV8
357,ICP34|ICP34_HHV11
358,O41932|O41932_MHV68
359,O92806|O92806_RSVP
360,B1A9Q8|B1A9Q8_9GAMA
361,Q98138|Q98138_HHV8
362,Q9ICL0|Q9ICL0_9PAPI
363,REP52|REP52_AAV2S
364,Q76QC2|Q76QC2_FOAMV
365,Q76RI8|Q76RI8_HHV8
366,Q2RBU1|Q2RBU1_9INFA
367,Q76RJ0|Q76RJ0_HHV8
368,VPK|VPK_HHV8P
369,Q464B3|Q464B3_9INFA
370,UNGI|UNGI_BPPB2
371,Z|Z_LASSJ
372,VIE1|VIE1_HCMVM
373,E411|E411_ADE05
374,O41958|O41958_MHV68
375,L0N4F0|L0N4F0_HHV1
376,Q20NX5|Q20NX5_9INFA
377,Q76TK5|Q76TK5_HHV8
378,US10|US10_HHV11
379,A0A2Z5X739|A0A2Z5X739_HBV
380,O41956|O41956_MHV68
381,Q85406|Q85406_VAR67
382,Q808S4|Q808S4_9VIRU
383,C23L|C23L_VACCW
384,Q76VT2|Q76VT2_VAR67
385,VU94|VU94_HHV6Z
386,A52|A52_VACCW
387,LF2|LF2_EBVA8
388,VIRF1|VIRF1_HHV8P
389,Q64866|Q64866_ADE40
390,UNG|UNG_HHV11|UNG_HHV8P
391,TRM2|TRM2_HHV11
392,VLTF3|VLTF3_VAR67
393,Q6RZE7|Q6RZE7_9POXV
394,UL14|UL14_HCMVM
395,V5KU41|V5KU41_EBVG
396,C7|C7_VACCW
397,A0A1V0G0G8|A0A1V0G0G8_9VIRU
398,P88957|P88957_HHV8
399,ARBH|ARBH_FOWPN|ARBH_HHV8P
400,M11L|M11L_MYXVL
401,A20|A20_VACCW
402,ORF9B|ORF9B_CVHSA
403,RNB|RNB_HHV11
404,H8Y6L2|H8Y6L2_ALKV
405,Q9PX39|Q9PX39_ADE07
406,P88992|P88992_MHV68
407,Q5ERI7|Q5ERI7_WNV
408,BM2|BM2_INBLE
409,VME1|VME1_CVHSA
410,GP350|GP350_EBVA8
411,D3JIT8|D3JIT8_ADE18
412,Q76RG2|Q76RG2_HHV8
413,VP22|VP22_HHV11
414,Q8UYL3|Q8UYL3_9POXV
415,Q38SR2|Q38SR2_9INFA
416,Q98136|Q98136_HHV8
417,Q6VGW0|Q6VGW0_ADE05
418,P88934|P88934_HHV8
419,Q4VCP9|Q4VCP9_NIPAV
420,A4GDF4|A4GDF4_9POXV
421,C|C_SENDO
422,SHUT|SHUT_ADE05
423,KBZIP|KBZIP_HHV8P
424,SPIKE|SPIKE_IBVB
425,P35|P35_NPVAC
426,FUS|FUS_MEASC
427,K42|K42_HHV8P
428,A0A0C7TRZ7|A0A0C7TRZ7_EBVG
429,PRIM|PRIM_EBVB9
430,O41939|O41939_MHV68
431,D3JIT9|D3JIT9_ADE18
432,A0A089NDG7|A0A089NDG7_HPV16
433,NSS|NSS_BUNYW
434,F1DT92|F1DT92_ADE17
435,Q9ICL1|Q9ICL1_9PAPI
436,A0A384KQ78|A0A384KQ78_HPV16
437,GN|GN_EBVA8
438,Q98184|Q98184_MCV1
439,Q76SB1|Q76SB1_HHV8
440,TIP|TIP_SHV2C
441,B1|B1_VACCW
